0	246
1	246
2	246
3	247
4	247
5	247
6	247
7	247
8	247
9	247
10	247
11	247
12	247
13	247
14	247
15	247
16	247
17	247
18	247
19	247
20	247
21	247
22	247
23	247
24	247
25	247
26	247
27	247
28	247
29	247
30	247
31	247
32	249
33	248
34	248
35	247
36	232
37	226
38	241
39	248
40	248
41	249
42	248
43	248
44	249
45	249
46	249
47	249
48	249
49	249
50	249
51	249
52	249
53	249
54	249
55	249
56	249
57	249
58	249
59	249
60	249
61	249
62	253
63	253
64	253
65	253
66	253
67	253
68	253
69	250
70	249
71	253
72	253
73	252
74	251
75	250
76	251
77	251
78	252
79	251
80	251
81	251
82	251
83	251
84	250
85	250
86	250
87	250
88	250
89	250
90	250
91	251
92	251